from,to,value
E02000001,E02000419,2
E02000002,E02000411,2
E02000003,E02000416,1
E02000004,E02000411,2
E02000009,E02000411,2
E02000009,E02000414,1
E02000010,E02000412,2
E02000011,E02000412,1
E02000014,E02000416,1
E02000015,E02000419,1
E02000016,E02000412,2
E02000016,E02000419,2
E02000017,E02000411,1
E02000021,E02000412,2
E02000024,E02000410,2
E02000024,E02000412,2
E02000024,E02000415,1
E02000024,E02000416,1
E02000024,E02000417,1
E02000024,E02000419,2
E02000025,E02000410,3
E02000025,E02000416,1
E02000025,E02000417,2
E02000026,E02000415,3
E02000026,E02000416,1
E02000026,E02000418,1
E02000027,E02000419,1
E02000028,E02000418,1
E02000029,E02000410,4
E02000029,E02000412,2
E02000029,E02000415,1
E02000029,E02000416,1
E02000029,E02000417,1
E02000030,E02000410,1
E02000030,E02000411,4
E02000030,E02000419,1
E02000031,E02000411,1
E02000031,E02000417,2
E02000031,E02000419,3
E02000032,E02000415,3
E02000032,E02000416,2
E02000032,E02000417,1
E02000033,E02000414,1
E02000033,E02000416,5
E02000033,E02000417,2
E02000034,E02000410,1
E02000034,E02000411,1
E02000034,E02000412,3
E02000034,E02000413,7
E02000034,E02000416,1
E02000034,E02000417,3
E02000035,E02000410,2
E02000036,E02000417,1
E02000037,E02000413,1
E02000037,E02000415,1
E02000038,E02000410,4
E02000038,E02000412,4
E02000038,E02000413,5
E02000038,E02000414,2
E02000038,E02000415,2
E02000038,E02000416,2
E02000038,E02000417,2
E02000038,E02000418,1
E02000038,E02000419,3
E02000039,E02000414,1
E02000040,E02000410,3
E02000040,E02000413,1
E02000040,E02000416,2
E02000040,E02000417,4
E02000040,E02000418,4
E02000041,E02000413,1
E02000041,E02000417,1
E02000041,E02000419,2
E02000042,E02000410,4
E02000042,E02000411,1
E02000042,E02000413,3
E02000042,E02000415,2
E02000042,E02000417,4
E02000042,E02000419,3
E02000043,E02000413,2
E02000043,E02000417,3
E02000043,E02000419,1
E02000044,E02000411,1
E02000044,E02000416,2
E02000045,E02000410,31
E02000045,E02000411,2
E02000045,E02000412,3
E02000045,E02000413,19
E02000045,E02000414,1
E02000045,E02000416,5
E02000045,E02000417,6
E02000045,E02000418,1
E02000045,E02000419,2
E02000046,E02000410,3
E02000046,E02000412,3
E02000046,E02000413,3
E02000046,E02000415,2
E02000046,E02000419,1
E02000047,E02000410,1
E02000047,E02000411,6
E02000048,E02000411,1
E02000048,E02000412,11
E02000048,E02000418,1
E02000049,E02000413,1
E02000050,E02000411,1
E02000050,E02000413,20
E02000050,E02000414,3
E02000050,E02000415,1
E02000050,E02000416,3
E02000050,E02000417,1
E02000051,E02000410,1
E02000051,E02000412,1
E02000051,E02000414,1
E02000051,E02000415,1
E02000051,E02000416,2
E02000051,E02000419,1
E02000052,E02000410,8
E02000052,E02000413,32
E02000052,E02000414,2
E02000052,E02000416,1
E02000052,E02000417,11
E02000052,E02000418,3
E02000052,E02000419,1
