from,to,value
E02000009,W02000093,3
E02000030,W02000094,1
E02000058,W02000097,1
E02000093,W02000095,2
E02000124,W02000097,2
E02000140,W02000094,2
E02000151,W02000097,2
E02000163,W02000097,2
E02000167,W02000097,1
E02000178,W02000095,1
E02000207,W02000093,1
E02000277,W02000093,2
E02000289,W02000099,1
E02000362,W02000090,1
E02000372,W02000094,4
E02000375,W02000090,4
E02000380,W02000097,1
E02000412,W02000090,3
E02000420,W02000093,1
E02000426,W02000093,2
E02000447,W02000098,2
E02000464,W02000095,1
E02000503,W02000099,2
E02000545,W02000097,1
E02000548,W02000093,2
E02000558,W02000097,1
E02000585,W02000093,1
E02000605,W02000099,1
E02000624,W02000096,1
E02000629,W02000093,2
E02000633,W02000098,2
E02000633,W02000099,1
E02000687,W02000099,1
E02000692,W02000099,2
E02000791,W02000099,1
E02000797,W02000095,1
E02000802,W02000099,1
E02000815,W02000091,1
E02000827,W02000095,3
E02000830,W02000098,1
E02000834,W02000095,1
E02000834,W02000097,2
E02000848,W02000098,1
E02000851,W02000097,1
E02000871,W02000099,2
E02000918,W02000098,1
E02000925,W02000093,1
E02000927,W02000097,2
E02000933,W02000099,1
E02000935,W02000094,1
E02000936,W02000098,2
E02000964,W02000097,1
E02000977,W02000099,1
E02001005,W02000091,4
E02001009,W02000095,2
E02001014,W02000095,2
E02001020,W02000095,3
E02001024,W02000092,1
E02001024,W02000094,2
E02001037,W02000097,1
E02001048,W02000097,2
E02001052,W02000093,1
E02001056,W02000094,1
E02001074,W02000093,1
E02001076,W02000091,1
E02001076,W02000094,1
E02001076,W02000098,1
E02001077,W02000095,2
E02001080,W02000095,1
E02001080,W02000099,1
E02001083,W02000097,1
E02001091,W02000091,1
E02001110,W02000098,1
E02001125,W02000094,1
E02001135,W02000092,4
E02001173,W02000095,2
E02001176,W02000098,1
E02001177,W02000098,1
E02001179,W02000091,2
E02001188,W02000098,1
E02001212,W02000098,3
E02001228,W02000096,4
E02001237,W02000094,2
E02001241,W02000097,1
E02001254,W02000095,1
E02001259,W02000094,1
E02001273,W02000092,2
E02001278,W02000099,2
E02001282,W02000094,2
E02001282,W02000097,1
E02001284,W02000097,4
E02001312,W02000094,2
E02001350,W02000096,1
E02001352,W02000095,3
E02001368,W02000094,1
E02001376,W02000093,1
E02001376,W02000094,1
E02001376,W02000095,1
E02001377,W02000093,1
E02001377,W02000095,1
E02001377,W02000099,1
E02001384,W02000093,1
E02001384,W02000095,1
E02001384,W02000098,1
E02001384,W02000099,1
E02001387,W02000095,4
E02001390,W02000092,1
E02001399,W02000095,1
E02001401,W02000095,1
E02001404,W02000096,1
E02001406,W02000095,1
E02001420,W02000094,2
E02001421,W02000096,1
E02001426,W02000094,2
E02001427,W02000090,4
E02001449,W02000097,2
E02001458,W02000094,1
E02001460,W02000099,1
E02001467,W02000090,3
E02001468,W02000090,1
E02001474,W02000092,2
E02001474,W02000094,2
E02001476,W02000091,1
E02001478,W02000098,2
E02001486,W02000098,2
E02001499,W02000096,1
E02001502,W02000093,3
E02001508,W02000096,1
E02001509,W02000091,1
E02001509,W02000093,1
E02001535,W02000097,1
E02001628,W02000091,1
E02001648,W02000099,1
E02001650,W02000091,2
E02001836,W02000097,1
E02001844,W02000099,1
E02001849,W02000099,2
E02001851,W02000097,2
E02001876,W02000095,1
E02001878,W02000099,2
E02001879,W02000094,1
E02001899,W02000095,2
E02001905,W02000092,1
E02001906,W02000099,5
E02001914,W02000097,2
E02001918,W02000097,2
E02001922,W02000093,1
E02001922,W02000098,1
E02001925,W02000099,1
E02001931,W02000090,1
E02001955,W02000098,1
E02001956,W02000097,2
E02001963,W02000091,3
E02001974,W02000093,1
E02001992,W02000099,4
E02001999,W02000098,2
E02002002,W02000099,4
E02002007,W02000097,2
E02002009,W02000097,1
E02002019,W02000099,4
E02002041,W02000097,1
E02002051,W02000097,2
E02002056,W02000099,3
E02002058,W02000090,1
E02002058,W02000093,1
E02002058,W02000094,1
E02002067,W02000099,1
E02002080,W02000097,2
E02002082,W02000096,1
E02002085,W02000091,1
E02002097,W02000097,1
E02002101,W02000097,8
E02002110,W02000096,6
E02002125,W02000099,2
E02002139,W02000099,1
E02002145,W02000098,1
E02002146,W02000097,1
E02002148,W02000098,2
E02002151,W02000097,4
E02002156,W02000091,1
E02002175,W02000095,1
E02002181,W02000097,3
E02002213,W02000097,2
E02002262,W02000097,1
E02002319,W02000097,1
E02002329,W02000095,1
E02002351,W02000093,1
E02002371,W02000097,1
E02002373,W02000091,1
E02002385,W02000098,1
E02002400,W02000096,2
E02002447,W02000096,3
E02002478,W02000097,2
E02002498,W02000098,1
E02002502,W02000092,1
E02002515,W02000098,1
E02002582,W02000090,1
E02002583,W02000091,2
E02002585,W02000092,1
E02002585,W02000094,2
E02002592,W02000094,2
E02002595,W02000092,1
E02002598,W02000094,3
E02002600,W02000093,1
E02002601,W02000097,1
E02002609,W02000090,2
E02002624,W02000092,2
E02002663,W02000097,1
E02002756,W02000091,1
E02002773,W02000091,1
E02002781,W02000090,1
E02002786,W02000090,1
E02002786,W02000093,1
E02002790,W02000093,3
E02002794,W02000093,1
E02002867,W02000097,1
E02002890,W02000096,1
E02002905,W02000095,1
E02002905,W02000097,3
E02002905,W02000099,2
E02002906,W02000098,1
E02002907,W02000099,3
E02002910,W02000095,2
E02002910,W02000097,3
E02002910,W02000098,2
E02002919,W02000095,1
E02002923,W02000098,2
E02002928,W02000097,1
E02002931,W02000099,2
E02002934,W02000097,3
E02002937,W02000097,2
E02002938,W02000091,1
E02002941,W02000093,1
E02002941,W02000096,1
E02002948,W02000098,2
E02002948,W02000099,3
E02002949,W02000099,1
E02002956,W02000094,3
E02002957,W02000098,2
E02002959,W02000092,1
E02002965,W02000098,1
E02002969,W02000091,2
E02002969,W02000098,1
E02002974,W02000099,1
E02003001,W02000097,4
E02003012,W02000090,1
E02003021,W02000098,1
E02003027,W02000094,3
E02003030,W02000091,1
E02003036,W02000097,1
E02003036,W02000098,1
E02003059,W02000099,2
E02003070,W02000097,2
E02003081,W02000097,1
E02003088,W02000098,1
E02003092,W02000094,1
E02003112,W02000099,4
E02003116,W02000096,2
E02003135,W02000099,1
E02003178,W02000097,1
E02003190,W02000097,1
E02003194,W02000095,2
E02003204,W02000097,3
