from,to,value
E02000017,E02004374,2
E02000068,E02004376,1
E02000073,E02004374,2
E02000088,E02004373,1
E02000092,E02004372,1
E02000131,E02004378,2
E02000146,E02004370,1
E02000158,E02004372,1
E02000158,E02004379,1
E02000187,E02004371,1
E02000194,E02004376,2
E02000195,E02004373,1
E02000204,E02004373,1
E02000209,E02004375,2
E02000223,E02004379,1
E02000230,E02004372,1
E02000233,E02004372,2
E02000235,E02004372,1
E02000248,E02004373,1
E02000251,E02004379,3
E02000263,E02004370,1
E02000270,E02004373,1
E02000276,E02004373,1
E02000315,E02004377,2
E02000357,E02004376,1
E02000363,E02004376,1
E02000369,E02004379,1
E02000372,E02004379,1
E02000375,E02004376,1
E02000377,E02004376,1
E02000391,E02004376,1
E02000409,E02004378,1
E02000462,E02004374,2
E02000477,E02004370,3
E02000500,E02004378,1
E02000547,E02004379,1
E02000553,E02004370,1
E02000581,E02004378,1
E02000606,E02004376,1
E02000623,E02004370,1
E02000638,E02004375,1
E02000699,E02004378,1
E02000701,E02004375,1
E02000710,E02004377,1
E02000736,E02004377,1
E02000753,E02004372,2
E02000787,E02004377,1
E02000807,E02004373,2
E02000873,E02004376,1
E02000874,E02004376,1
E02000926,E02004376,1
E02000929,E02004373,2
E02000980,E02004374,1
E02001193,E02004377,2
E02001203,E02004379,1
E02001299,E02004371,1
E02001334,E02004371,2
E02001426,E02004371,1
E02001427,E02004371,1
E02001540,E02004379,1
E02001566,E02004372,2
E02001642,E02004379,1
E02001683,E02004373,1
E02001692,E02004373,1
E02001953,E02004375,1
E02002059,E02004370,1
E02002180,E02004375,1
E02002244,E02004379,2
E02002765,E02004378,1
E02002843,E02004374,1
E02003047,E02004379,1
E02003181,E02004370,1
E02003233,E02004377,1
E02003290,E02004376,1
E02003292,E02004377,2
E02003317,E02004378,1
E02003320,E02004371,1
E02003322,E02004371,1
E02003322,E02004372,1
E02003329,E02004376,1
E02003338,E02004375,1
E02003341,E02004370,2
E02003350,E02004375,1
E02003353,E02004373,1
E02003357,E02004373,1
E02003366,E02004379,1
E02003408,E02004375,1
E02003489,E02004378,1
E02003491,E02004379,6
E02003492,E02004370,1
E02003492,E02004379,8
E02003493,E02004370,1
E02003493,E02004379,3
E02003494,E02004375,1
E02003494,E02004378,1
E02003494,E02004379,4
E02003495,E02004379,4
E02003496,E02004379,4
E02003497,E02004379,1
E02003498,E02004378,2
E02003498,E02004379,4
E02003499,E02004379,3
E02003500,E02004379,3
E02003501,E02004371,1
E02003501,E02004376,1
E02003501,E02004378,1
E02003501,E02004379,7
E02003502,E02004371,1
E02003502,E02004379,2
E02003503,E02004371,1
E02003503,E02004379,10
E02003504,E02004375,1
E02003504,E02004376,1
E02003504,E02004379,1
E02003505,E02004377,1
E02003505,E02004378,1
E02003505,E02004379,7
E02003506,E02004374,1
E02003506,E02004377,1
E02003506,E02004379,3
E02003507,E02004375,1
E02003507,E02004379,12
E02003508,E02004378,1
E02003508,E02004379,13
E02003509,E02004375,2
E02003509,E02004379,4
E02003510,E02004374,1
E02003510,E02004376,1
E02003510,E02004379,8
E02003511,E02004375,1
E02003511,E02004379,4
E02003512,E02004376,1
E02003512,E02004378,1
E02003512,E02004379,8
E02003513,E02004374,1
E02003513,E02004377,1
E02003514,E02004373,1
E02003514,E02004379,4
E02003515,E02004377,1
E02003515,E02004379,4
E02003516,E02004370,2
E02003516,E02004373,2
E02003516,E02004379,3
E02003517,E02004370,1
E02003517,E02004379,2
E02003518,E02004374,2
E02003518,E02004376,1
E02003518,E02004379,1
E02003519,E02004370,1
E02003519,E02004379,2
E02003520,E02004379,4
E02003521,E02004379,6
E02003522,E02004378,1
E02003522,E02004379,5
E02003523,E02004379,5
E02003561,E02004379,1
E02003575,E02004375,1
E02003593,E02004379,1
E02003667,E02004376,1
E02003943,E02004371,1
E02003953,E02004374,1
E02004163,E02004379,1
E02004236,E02004379,2
E02004237,E02004379,1
E02004302,E02004373,1
E02004305,E02004373,1
E02004355,E02004373,2
E02004356,E02004370,7
E02004356,E02004371,2
E02004356,E02004372,1
E02004356,E02004373,3
E02004356,E02004374,1
E02004356,E02004375,3
E02004356,E02004376,8
E02004356,E02004377,4
E02004356,E02004378,3
E02004356,E02004379,11
E02004357,E02004370,8
E02004357,E02004371,4
E02004357,E02004372,3
E02004357,E02004373,4
E02004357,E02004375,4
E02004357,E02004376,10
E02004357,E02004377,2
E02004357,E02004378,3
E02004357,E02004379,6
E02004358,E02004370,13
E02004358,E02004371,1
E02004358,E02004373,3
E02004358,E02004375,4
E02004358,E02004376,8
E02004358,E02004377,3
E02004358,E02004378,2
E02004358,E02004379,4
E02004359,E02004370,6
E02004359,E02004373,2
E02004359,E02004374,3
E02004359,E02004375,5
E02004359,E02004376,6
E02004359,E02004377,4
E02004359,E02004378,1
E02004359,E02004379,3
E02004361,E02004370,10
E02004361,E02004371,5
E02004361,E02004373,2
E02004361,E02004375,5
E02004361,E02004376,5
E02004361,E02004377,7
E02004361,E02004378,1
E02004361,E02004379,3
E02004362,E02004370,9
E02004362,E02004371,2
E02004362,E02004373,1
E02004362,E02004374,1
E02004362,E02004375,7
E02004362,E02004376,6
E02004362,E02004377,9
E02004362,E02004378,1
E02004362,E02004379,6
E02004363,E02004370,3
E02004363,E02004371,2
E02004363,E02004373,4
E02004363,E02004374,2
E02004363,E02004375,4
E02004363,E02004376,11
E02004363,E02004377,8
E02004363,E02004378,3
E02004363,E02004379,4
E02004364,E02004370,3
E02004364,E02004371,1
E02004364,E02004373,3
E02004364,E02004374,1
E02004364,E02004375,5
E02004364,E02004376,9
E02004364,E02004377,5
E02004364,E02004378,3
E02004364,E02004379,7
E02004365,E02004370,6
E02004365,E02004371,1
E02004365,E02004372,1
E02004365,E02004373,5
E02004365,E02004374,1
E02004365,E02004375,4
E02004365,E02004376,10
E02004365,E02004377,3
E02004365,E02004379,6
E02004366,E02004370,6
E02004366,E02004373,1
E02004366,E02004375,3
E02004366,E02004376,10
E02004366,E02004378,1
E02004366,E02004379,1
E02004367,E02004370,6
E02004367,E02004371,1
E02004367,E02004373,1
E02004367,E02004374,1
E02004367,E02004375,3
E02004367,E02004376,5
E02004367,E02004377,2
E02004367,E02004379,1
E02004368,E02004370,214
E02004368,E02004371,36
E02004368,E02004372,40
E02004368,E02004373,102
E02004368,E02004374,51
E02004368,E02004375,82
E02004368,E02004376,210
E02004368,E02004377,84
E02004368,E02004378,47
E02004368,E02004379,3
E02004369,E02004370,197
E02004369,E02004371,57
E02004369,E02004372,52
E02004369,E02004373,70
E02004369,E02004374,72
E02004369,E02004375,104
E02004369,E02004376,239
E02004369,E02004377,90
E02004369,E02004378,49
E02004369,E02004379,5
E02004370,888888888,1
E02004370,999999999,4
E02004370,E02000001,3
E02004370,E02000083,1
E02004370,E02000146,1
E02004370,E02000162,1
E02004370,E02000217,2
E02004370,E02000222,1
E02004370,E02000229,2
E02004370,E02000244,1
E02004370,E02000309,1
E02004370,E02000530,1
E02004370,E02000888,1
E02004370,E02000979,1
E02004370,E02003084,1
E02004370,E02003343,1
E02004370,E02003491,1
E02004370,E02003501,1
E02004370,E02003506,1
E02004370,E02003517,2
E02004370,E02003520,2
E02004370,E02003521,1
E02004370,E02003525,1
E02004370,E02003597,2
E02004370,E02004356,4
E02004370,E02004359,13
E02004370,E02004361,1
E02004370,E02004362,1
E02004370,E02004363,6
E02004370,E02004364,4
E02004370,E02004365,8
E02004370,E02004366,9
E02004370,E02004367,1
E02004370,E02004368,117
E02004370,E02004369,217
E02004370,111111111,1212
E02004370,E02004370,287
E02004370,E02004371,32
E02004370,E02004372,34
E02004370,E02004373,106
E02004370,E02004374,40
E02004370,E02004375,71
E02004370,E02004376,169
E02004370,E02004377,92
E02004370,E02004378,67
E02004370,E02004380,2
E02004370,E02004381,4
E02004370,E02004382,1
E02004370,E02004383,3
E02004370,E02004387,3
E02004370,E02004392,26
E02004370,E02004393,13
E02004370,E02004394,22
E02004370,E02004395,22
E02004370,E02004396,35
E02004370,E02004397,60
E02004370,E02004398,24
E02004370,E02004399,78
E02004370,E02004400,29
E02004370,E02004401,30
E02004370,E02004402,57
E02004370,E02004403,2
E02004370,E02004406,1
E02004370,E02004407,7
E02004370,E02004408,1
E02004370,E02004409,1
E02004370,E02004410,1
E02004370,E02004411,2
E02004370,E02004412,3
E02004370,E02004413,1
E02004370,E02004414,2
E02004370,E02004415,3
E02004370,E02004416,8
E02004370,E02004417,7
E02004370,E02004418,2
E02004370,E02004420,6
E02004370,E02004421,6
E02004370,E02004422,3
E02004370,E02004423,2
E02004370,E02004515,1
E02004370,E02004839,1
E02004370,E02004997,1
E02004370,E02004998,2
E02004370,E02005000,5
E02004370,E02005004,2
E02004370,E02005005,1
E02004370,E02005008,6
E02004370,E02005009,2
E02004370,E02005025,1
E02004370,E02005028,1
E02004370,E02005038,2
E02004370,E02005070,1
E02004370,E02005071,2
E02004370,E02005084,2
E02004370,E02005085,2
E02004370,E02005086,2
E02004370,E02005098,2
