from,to,value
E02000040,E02005520,1
E02000043,E02005521,4
E02000052,E02005528,2
E02000078,E02005520,3
E02000079,E02005526,2
E02000087,E02005528,2
E02000092,E02005524,1
E02000101,E02005525,1
E02000115,E02005521,1
E02000123,E02005527,1
E02000133,E02005520,1
E02000138,E02005522,1
E02000139,E02005528,1
E02000144,E02005526,1
E02000153,E02005520,1
E02000160,E02005520,1
E02000161,E02005524,5
E02000177,E02005524,2
E02000183,E02005521,4
E02000184,E02005527,1
E02000192,E02005526,1
E02000194,E02005527,5
E02000215,E02005528,3
E02000217,E02005521,2
E02000225,E02005525,1
E02000237,E02005527,2
E02000240,E02005525,1
E02000249,E02005521,1
E02000258,E02005528,1
E02000266,E02005529,1
E02000268,E02005521,1
E02000282,E02005523,1
E02000291,E02005524,1
E02000315,E02005528,4
E02000326,E02005521,1
E02000347,E02005520,4
E02000350,E02005528,1
E02000353,E02005522,2
E02000356,E02005525,1
E02000361,E02005526,2
E02000366,E02005525,1
E02000369,E02005523,1
E02000369,E02005527,2
E02000372,E02005521,1
E02000384,E02005522,1
E02000393,E02005525,1
E02000397,E02005528,4
E02000403,E02005521,1
E02000411,E02005527,1
E02000412,E02005526,1
E02000424,E02005521,2
E02000431,E02005522,1
E02000449,E02005529,5
E02000453,E02005528,3
E02000457,E02005526,1
E02000457,E02005528,2
E02000470,E02005526,1
E02000489,E02005523,3
E02000509,E02005523,1
E02000517,E02005528,5
E02000565,E02005523,3
E02000565,E02005527,1
E02000570,E02005520,4
E02000574,E02005521,1
E02000579,E02005520,1
E02000579,E02005521,1
E02000602,E02005525,1
E02000606,E02005522,2
E02000609,E02005526,1
E02000620,E02005521,3
E02000631,E02005528,1
E02000632,E02005522,1
E02000634,E02005528,2
E02000636,E02005521,1
E02000640,E02005521,1
E02000640,E02005525,1
E02000640,E02005528,1
E02000642,E02005525,1
E02000642,E02005527,1
E02000643,E02005520,4
E02000645,E02005522,1
E02000649,E02005527,1
E02000652,E02005528,1
E02000658,E02005527,3
E02000663,E02005528,3
E02000693,E02005523,1
E02000693,E02005524,1
E02000699,E02005529,1
E02000729,E02005522,1
E02000754,E02005521,3
E02000764,E02005525,2
E02000781,E02005523,2
E02000805,E02005523,1
E02000812,E02005528,2
E02000814,E02005525,1
E02000818,E02005524,1
E02000838,E02005528,2
E02000843,E02005524,1
E02000849,E02005527,2
E02000852,E02005520,2
E02000863,E02005523,1
E02000875,E02005520,1
E02000875,E02005526,1
E02000882,E02005525,1
E02000886,E02005523,2
E02000904,E02005527,1
E02000907,E02005527,1
E02000909,E02005529,1
E02000917,E02005525,1
E02000918,E02005521,2
E02000918,E02005522,1
E02000918,E02005526,1
E02000921,E02005523,1
E02000939,E02005523,3
E02000948,E02005527,2
E02000957,E02005525,1
E02000981,E02005528,1
E02001000,E02005522,2
E02001005,E02005522,1
E02001005,E02005527,2
E02001142,E02005529,1
E02001173,E02005523,1
E02001176,E02005522,2
E02001183,E02005521,1
E02001289,E02005520,2
E02001381,E02005527,1
E02001381,E02005529,1
E02001541,E02005525,2
E02001547,E02005521,1
E02001565,E02005526,3
E02001610,E02005523,2
E02001640,E02005521,1
E02001646,E02005526,1
E02001688,E02005522,2
E02001695,E02005520,1
E02001812,E02005520,1
E02001844,E02005525,1
E02001852,E02005522,1
E02001871,E02005525,1
E02001879,E02005526,1
E02001901,E02005526,1
E02001922,E02005525,1
E02001926,E02005527,1
E02001954,E02005528,1
E02001977,E02005526,1
E02001988,E02005527,1
E02001989,E02005526,6
E02002169,E02005523,1
E02002178,E02005527,1
E02002218,E02005528,1
E02002299,E02005522,4
E02002340,E02005520,4
E02002373,E02005523,1
E02002374,E02005527,1
E02002383,E02005522,2
E02002454,E02005524,1
E02002482,E02005524,1
E02002496,E02005521,2
E02002568,E02005525,2
E02002642,E02005527,2
E02002669,E02005520,1
E02002685,E02005527,2
E02002786,E02005520,1
E02002787,E02005521,1
E02002800,E02005528,2
E02002808,E02005527,1
E02002810,E02005520,4
E02002854,E02005526,1
E02002856,E02005520,1
E02002882,E02005529,1
E02002889,E02005521,2
E02002893,E02005529,2
E02002896,E02005521,1
E02002898,E02005526,1
E02002904,E02005521,1
E02002946,E02005528,1
E02002966,E02005522,1
E02002985,E02005520,4
E02002985,E02005522,1
E02002992,E02005528,1
E02002993,E02005527,1
E02003001,E02005526,3
E02003013,E02005523,1
E02003031,E02005523,1
E02003045,E02005521,1
E02003045,E02005523,1
E02003092,E02005527,1
E02003107,E02005528,1
E02003223,E02005525,1
E02003246,E02005529,1
E02003250,E02005528,2
E02003254,E02005520,1
E02003266,E02005520,1
E02003267,E02005525,2
E02003289,E02005528,3
E02003299,E02005523,2
E02003307,E02005529,3
E02003312,E02005520,4
E02003315,E02005521,3
E02003316,E02005521,4
E02003327,E02005520,2
E02003328,E02005528,1
E02003337,E02005520,1
E02003357,E02005529,1
E02003360,E02005521,1
E02003395,E02005526,2
E02003400,E02005525,1
E02003400,E02005527,1
E02003402,E02005522,1
E02003412,E02005523,2
E02003422,E02005522,3
E02003431,E02005521,1
E02003436,E02005525,1
E02003438,E02005520,2
E02003453,E02005524,3
E02003457,E02005521,1
E02003476,E02005527,2
E02003480,E02005527,2
E02003492,E02005521,1
E02003492,E02005527,1
E02003512,E02005520,1
E02003516,E02005521,3
E02003521,E02005529,1
E02003522,E02005529,2
E02003549,E02005521,1
E02003558,E02005529,4
E02003576,E02005527,1
E02003608,E02005527,2
E02003614,E02005520,1
E02003619,E02005524,6
E02003620,E02005522,2
E02003636,E02005521,2
E02003665,E02005528,1
E02003675,E02005526,3
E02003695,E02005521,1
E02003696,E02005524,2
E02003703,E02005528,2
E02003720,E02005525,1
E02003723,E02005521,1
E02003725,E02005527,1
E02003727,E02005523,1
E02003727,E02005525,2
E02003727,E02005526,2
E02003729,E02005523,3
E02003732,E02005528,9
E02003733,E02005521,2
E02003734,E02005527,2
E02003734,E02005529,1
E02003737,E02005523,1
E02003739,E02005522,1
E02003739,E02005527,3
E02003751,E02005524,2
E02003752,E02005521,1
E02003768,E02005523,1
E02003768,E02005525,2
E02003770,E02005521,4
E02003771,E02005527,1
E02003772,E02005526,1
E02003773,E02005529,4
E02003774,E02005523,2
E02003778,E02005520,3
