from,to,value
E02000001,W02000404,1
E02000007,W02000404,2
E02000008,W02000405,1
E02000020,W02000408,1
E02000033,W02000406,1
E02000038,W02000402,1
E02000038,W02000406,1
E02000052,W02000400,3
E02000055,W02000403,1
E02000062,W02000408,1
E02000066,W02000406,1
E02000090,W02000402,2
E02000091,W02000403,2
E02000105,W02000408,1
E02000106,W02000402,1
E02000107,W02000400,1
E02000116,W02000402,1
E02000119,W02000402,1
E02000124,W02000406,1
E02000131,W02000400,1
E02000137,W02000407,4
E02000138,W02000407,1
E02000139,W02000401,1
E02000142,W02000402,2
E02000144,W02000402,1
E02000159,W02000402,1
E02000171,W02000400,4
E02000172,W02000400,1
E02000172,W02000409,1
E02000173,W02000400,1
E02000175,W02000400,1
E02000177,W02000402,1
E02000178,W02000402,1
E02000180,W02000402,2
E02000181,W02000400,1
E02000183,W02000400,1
E02000186,W02000401,2
E02000186,W02000407,1
E02000200,W02000400,2
E02000202,W02000406,4
E02000212,W02000407,4
E02000222,W02000402,1
E02000250,W02000402,1
E02000251,W02000402,1
E02000252,W02000406,1
E02000265,W02000402,1
E02000279,W02000402,2
E02000300,W02000402,1
E02000305,W02000400,2
E02000312,W02000400,3
E02000312,W02000406,1
E02000312,W02000408,1
E02000323,W02000402,1
E02000327,W02000403,2
E02000333,W02000402,2
E02000337,W02000403,1
E02000345,W02000404,1
E02000347,W02000406,2
E02000356,W02000406,3
E02000360,W02000402,2
E02000361,W02000400,2
E02000362,W02000400,3
E02000362,W02000408,2
E02000372,W02000402,3
E02000372,W02000403,1
E02000372,W02000408,1
E02000374,W02000408,1
E02000379,W02000400,1
E02000380,W02000406,1
E02000389,W02000402,1
E02000393,W02000402,1
E02000413,W02000405,1
E02000413,W02000408,1
E02000416,W02000402,1
E02000416,W02000406,2
E02000427,W02000400,3
E02000431,W02000401,3
E02000436,W02000405,1
E02000438,W02000402,1
E02000449,W02000402,2
E02000453,W02000402,2
E02000459,W02000402,2
E02000466,W02000402,3
E02000480,W02000408,1
E02000485,W02000408,1
E02000498,W02000406,1
E02000503,W02000407,1
E02000508,W02000402,2
E02000509,W02000408,1
E02000523,W02000402,2
E02000533,W02000406,1
E02000536,W02000400,1
E02000540,W02000406,1
E02000541,W02000409,2
E02000543,W02000408,1
E02000547,W02000406,2
E02000549,W02000402,1
E02000556,W02000403,3
E02000557,W02000400,2
E02000561,W02000404,2
E02000561,W02000407,1
E02000563,W02000400,2
E02000564,W02000403,1
E02000564,W02000406,4
E02000567,W02000400,2
E02000568,W02000400,1
E02000568,W02000403,5
E02000568,W02000404,2
E02000568,W02000405,1
E02000576,W02000406,2
E02000583,W02000400,1
E02000599,W02000406,1
E02000604,W02000403,4
E02000606,W02000400,2
E02000613,W02000402,1
E02000614,W02000402,2
E02000620,W02000401,2
E02000620,W02000408,1
E02000622,W02000401,1
E02000623,W02000405,2
E02000627,W02000406,4
E02000628,W02000400,1
E02000629,W02000400,1
E02000631,W02000404,1
E02000633,W02000400,1
E02000633,W02000406,1
E02000634,W02000409,1
E02000637,W02000400,1
E02000638,W02000403,1
E02000642,W02000404,1
E02000644,W02000402,1
E02000647,W02000406,1
E02000655,W02000400,2
E02000666,W02000408,1
E02000667,W02000402,1
E02000674,W02000402,1
E02000682,W02000406,2
E02000683,W02000402,1
E02000683,W02000403,1
E02000689,W02000400,1
E02000692,W02000406,1
E02000693,W02000400,3
E02000694,W02000406,1
E02000695,W02000406,1
E02000699,W02000402,3
E02000707,W02000401,1
E02000710,W02000408,3
E02000719,W02000406,4
E02000722,W02000407,1
