from,to,value
E02000009,E02005984,1
E02000021,E02005980,1
E02000030,E02005987,1
E02000058,E02005988,1
E02000095,E02005987,1
E02000097,E02005983,2
E02000097,E02005987,1
E02000098,E02005987,1
E02000105,E02005983,1
E02000106,E02005983,1
E02000112,E02005983,1
E02000117,E02005987,1
E02000140,E02005982,1
E02000177,E02005987,1
E02000192,E02005984,2
E02000204,E02005987,1
E02000223,E02005986,1
E02000246,E02005983,2
E02000253,E02005980,1
E02000277,E02005987,1
E02000288,E02005987,1
E02000295,E02005980,2
E02000306,E02005980,1
E02000323,E02005983,2
E02000327,E02005980,1
E02000335,E02005983,1
E02000345,E02005986,1
E02000377,E02005980,1
E02000377,E02005984,2
E02000388,E02005984,1
E02000403,E02005982,2
E02000405,E02005983,1
E02000418,E02005986,1
E02000421,E02005983,1
E02000437,E02005987,1
E02000445,E02005988,2
E02000449,E02005983,1
E02000455,E02005980,1
E02000462,E02005983,1
E02000462,E02005988,1
E02000463,E02005988,2
E02000489,E02005980,1
E02000490,E02005986,2
E02000490,E02005987,1
E02000494,E02005983,1
E02000496,E02005986,1
E02000503,E02005987,1
E02000503,E02005988,1
E02000512,E02005983,1
E02000517,E02005983,1
E02000517,E02005987,1
E02000522,E02005987,2
E02000530,E02005980,1
E02000540,E02005983,1
E02000541,E02005980,1
E02000542,E02005983,2
E02000543,E02005983,1
E02000546,E02005983,1
E02000549,E02005984,1
E02000591,E02005987,1
E02000620,E02005983,1
E02000621,E02005987,1
E02000624,E02005987,1
E02000626,E02005988,1
E02000628,E02005980,2
E02000629,E02005988,1
E02000634,E02005984,1
E02000638,E02005980,1
E02000670,E02005980,1
E02000743,E02005986,1
E02000744,E02005982,2
E02000772,E02005984,1
E02000776,E02005986,1
E02000782,E02005987,1
E02000790,E02005983,1
E02000812,E02005980,1
E02000902,E02005987,2
E02000906,E02005987,1
E02000907,E02005983,1
E02000909,E02005986,1
E02000935,E02005984,3
E02000949,E02005983,1
E02000959,E02005987,1
E02000966,E02005983,1
E02000981,E02005987,1
E02001000,E02005980,3
E02001015,E02005980,1
E02001047,E02005984,1
E02001093,E02005984,1
E02001102,E02005980,1
E02001118,E02005980,3
E02001130,E02005980,1
E02001158,E02005980,2
E02001159,E02005980,1
E02001160,E02005986,1
E02001205,E02005987,3
E02001250,E02005980,1
E02001255,E02005980,1
E02001312,E02005983,2
E02001333,E02005980,1
E02001401,E02005980,1
E02001432,E02005980,1
E02001439,E02005980,1
E02001455,E02005980,1
E02001457,E02005983,2
E02001491,E02005980,1
E02001493,E02005980,1
E02001519,E02005980,1
E02001519,E02005984,1
E02001532,E02005983,1
E02001553,E02005980,1
E02001555,E02005980,1
E02001589,E02005983,1
E02001606,E02005980,1
E02001633,E02005980,1
E02001638,E02005987,1
E02001646,E02005987,1
E02001650,E02005987,1
E02001657,E02005983,1
E02001746,E02005983,3
E02001761,E02005983,2
E02001835,E02005983,2
E02001836,E02005980,1
E02001844,E02005983,1
E02001852,E02005980,1
E02001871,E02005987,1
E02001890,E02005983,1
E02001905,E02005983,1
E02001919,E02005982,1
E02001922,E02005982,2
E02001925,E02005980,1
E02001930,E02005987,1
E02001942,E02005983,1
E02001954,E02005980,1
E02001959,E02005983,1
E02001961,E02005980,1
E02001964,E02005983,1
E02001966,E02005980,3
E02001971,E02005980,2
E02001976,E02005988,1
E02001981,E02005988,2
E02001983,E02005983,1
E02001990,E02005988,1
E02001992,E02005983,1
E02001994,E02005983,2
E02001996,E02005980,1
E02001999,E02005983,1
E02002021,E02005980,1
E02002041,E02005983,1
E02002053,E02005980,1
E02002094,E02005987,1
E02002105,E02005980,1
E02002123,E02005980,1
E02002133,E02005980,1
E02002139,E02005980,1
E02002216,E02005987,1
E02002220,E02005983,1
E02002229,E02005988,1
E02002243,E02005980,1
E02002249,E02005980,1
E02002255,E02005987,1
E02002257,E02005987,1
E02002268,E02005983,1
E02002276,E02005980,1
E02002297,E02005983,1
E02002329,E02005980,1
E02002434,E02005980,1
E02002483,E02005983,1
E02002484,E02005983,1
E02002493,E02005980,2
E02002501,E02005983,1
E02002503,E02005983,1
E02002517,E02005980,1
E02002518,E02005980,1
E02002520,E02005980,2
E02002524,E02005980,1
E02002525,E02005980,1
E02002588,E02005980,1
E02002591,E02005980,1
E02002637,E02005980,1
E02002643,E02005980,1
E02002655,E02005980,1
E02002680,E02005986,1
E02002700,E02005987,1
E02002711,E02005988,1
E02002719,E02005987,1
E02002721,E02005987,2
E02002723,E02005987,1
E02002724,E02005980,1
E02002736,E02005980,1
E02002749,E02005983,3
E02002751,E02005983,1
E02002753,E02005983,1
E02002794,E02005987,4
E02002808,E02005980,2
E02002813,E02005980,1
E02002834,E02005982,1
E02002836,E02005988,1
E02002842,E02005980,2
E02002849,E02005980,1
E02002876,E02005980,1
E02002910,E02005980,1
E02002917,E02005983,1
E02002923,E02005980,1
E02002924,E02005988,1
E02002927,E02005980,1
E02002936,E02005980,1
E02002945,E02005980,1
E02002953,E02005987,1
E02002955,E02005987,1
E02002958,E02005983,1
E02002976,E02005980,1
E02002980,E02005980,1
E02002992,E02005987,1
E02002993,E02005988,1
E02002998,E02005986,1
E02003005,E02005983,1
E02003018,E02005983,1
E02003026,E02005980,1
E02003028,E02005988,1
E02003045,E02005987,4
E02003065,E02005988,1
E02003078,E02005980,1
E02003092,E02005986,1
E02003113,E02005988,1
E02003118,E02005980,1
E02003121,E02005983,1
E02003153,E02005980,1
E02003165,E02005980,1
E02003165,E02005985,1
E02003174,E02005986,1
E02003175,E02005988,2
E02003185,E02005983,1
E02003187,E02005982,2
E02003191,E02005983,1
E02003198,E02005988,1
E02003200,E02005988,2
E02003208,E02005980,1
E02003212,E02005980,1
E02003212,E02005983,13
E02003212,E02005984,8
E02003212,E02005985,2
E02003212,E02005986,53
E02003212,E02005987,4
E02003212,E02005988,2
E02003214,E02005980,3
E02003214,E02005983,2
E02003214,E02005984,2
E02003214,E02005986,10
E02003214,E02005987,4
E02003214,E02005988,1
E02003215,E02005983,3
E02003215,E02005986,5
E02003215,E02005988,1
E02003216,E02005980,1
E02003216,E02005983,7
E02003216,E02005984,2
E02003216,E02005986,13
E02003216,E02005987,7
E02003216,E02005988,3
E02003217,E02005983,1
E02003217,E02005984,1
E02003217,E02005986,8
E02003217,E02005987,2
E02003217,E02005988,3
E02003218,E02005980,1
E02003218,E02005983,2
E02003218,E02005984,2
E02003218,E02005986,6
E02003218,E02005987,3
E02003219,E02005983,7
E02003219,E02005984,7
E02003219,E02005985,1
E02003219,E02005986,15
E02003219,E02005987,4
E02003219,E02005988,4
E02003220,E02005980,2
E02003220,E02005983,11
E02003220,E02005984,3
E02003220,E02005985,2
E02003220,E02005986,17
E02003220,E02005987,3
E02003220,E02005988,13
E02003221,E02005983,2
E02003221,E02005984,5
E02003221,E02005986,4
E02003221,E02005987,4
E02003221,E02005988,5
E02003222,E02005983,6
E02003222,E02005986,4
E02003222,E02005987,3
