from,to,value
E02000083,W02000217,2
E02000084,W02000217,1
E02000252,W02000214,1
E02000275,W02000214,3
E02000275,W02000215,1
E02000518,W02000217,1
E02000645,W02000215,1
E02000670,W02000213,2
E02000756,W02000219,1
E02000784,W02000211,2
E02000810,W02000215,1
E02000828,W02000215,1
E02000912,W02000211,1
E02001259,W02000214,3
E02001262,W02000214,1
E02001328,W02000211,2
E02001355,W02000217,1
E02001371,W02000211,1
E02001511,W02000217,1
E02001619,W02000217,1
E02001765,W02000219,1
E02001886,W02000213,1
E02001886,W02000215,1
E02001890,W02000213,1
E02001906,W02000215,1
E02001923,W02000215,1
E02001981,W02000213,1
E02002067,W02000214,1
E02002168,W02000212,1
E02002256,W02000215,1
E02002587,W02000215,1
E02002747,W02000215,1
E02002750,W02000215,1
E02002753,W02000217,1
E02002755,W02000217,1
E02002762,W02000217,1
E02002838,W02000219,1
E02002853,W02000217,1
E02002882,W02000216,1
E02002896,W02000213,1
E02002926,W02000211,3
E02002987,W02000215,1
E02003002,W02000213,1
E02003005,W02000218,2
E02003010,W02000219,1
E02003047,W02000217,1
E02003068,W02000217,1
E02003107,W02000214,1
E02003108,W02000217,1
E02003113,W02000217,1
E02003146,W02000217,1
E02003395,W02000217,1
E02003400,W02000217,1
E02003400,W02000219,1
E02003554,W02000216,1
E02003688,W02000217,1
E02003689,W02000217,1
E02004072,W02000217,1
E02004150,W02000217,1
E02004162,W02000211,1
E02004163,W02000217,1
E02004317,W02000217,1
E02004587,W02000217,1
E02004628,W02000211,2
E02004628,W02000217,1
E02004634,W02000217,1
E02004635,W02000217,1
E02004638,W02000217,1
E02004672,W02000211,1
E02005080,W02000210,1
E02005493,W02000217,1
E02005759,W02000211,1
E02005975,W02000211,1
E02006022,W02000210,1
E02006046,W02000211,3
E02006055,W02000211,1
E02006056,W02000217,1
E02006230,W02000214,1
E02006521,W02000213,1
E02006806,W02000211,4
E02006909,W02000217,1
E02006991,W02000218,1
E02007066,W02000214,1
E02007105,W02000217,1
E02007107,W02000217,1
W02000014,W02000213,1
W02000015,W02000212,1
W02000020,W02000217,2
W02000021,W02000217,1
W02000026,W02000217,1
W02000039,W02000217,2
W02000069,W02000211,1
W02000097,W02000214,1
W02000098,W02000217,1
W02000099,W02000210,1
W02000101,W02000214,1
W02000104,W02000217,3
W02000105,W02000213,1
W02000105,W02000219,1
W02000109,W02000217,2
W02000113,W02000214,1
W02000113,W02000215,2
W02000113,W02000217,1
