areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
E06000001,37754,33121,11804,14513,0,558,E06000004,4240,E06000047,1950,E06000002,1500,E06000004,2199,E06000047,1995,E06000002,770
E06000002,56439,60827,17618,19529,0,966,E06000004,7715,E06000003,4536,E07000164,1403,E06000004,8554,E06000003,8451,E06000001,1500
E06000003,55606,46318,18079,17880,0,1174,E06000002,8451,E06000004,4466,E07000164,1128,E06000002,4536,E06000004,2792,E06000001,671
E06000004,86433,87066,29897,31573,0,1166,E06000002,8554,E06000005,3183,E06000003,2792,E06000002,7715,E06000003,4466,E06000001,4240
E06000005,49286,51369,17932,19100,0,260,E06000047,3807,E06000004,2398,E07000164,1344,E06000047,6114,E06000004,3183,E06000002,1219
E06000006,58707,56466,22134,18547,0,185,E06000007,4879,E08000012,3074,E06000050,2799,E06000007,3427,E06000050,2612,E08000012,2228
E06000007,103183,116105,45008,35664,0,305,E06000006,3427,E08000003,2233,E08000009,1981,E08000013,6152,E08000010,5722,E06000006,4879
E06000008,63553,68676,20892,26214,0,163,E07000120,2959,E07000123,1793,E07000124,1723,E07000120,5218,E07000124,2280,E07000117,1979
E06000009,59362,61329,21649,23932,0,238,E07000119,5615,E07000128,4231,E07000123,1115,E07000128,7551,E07000119,4248,E07000123,1063
E06000010,117807,118347,31060,60598,0,661,E06000011,18706,E06000013,2598,E06000012,870,E06000011,21836,E06000013,1857,E06000012,845
E06000011,156119,146656,60216,57155,0,938,E06000010,21836,E06000014,4308,E07000169,2268,E06000010,18706,E06000014,1607,E06000013,1524
E06000012,68860,68007,19934,39366,0,739,E06000013,4123,E07000137,1263,E06000010,845,E06000013,2767,E07000137,2378,E07000142,1272
E06000013,76221,77964,23569,39866,0,405,E06000012,2767,E08000017,1917,E06000010,1857,E06000012,4123,E06000010,2598,E07000142,2155
E06000014,96198,102685,45162,39559,0,264,E08000035,2035,E07000165,1639,E06000011,1607,E06000011,4308,E07000169,4041,E08000035,1727
E06000015,116197,122354,41532,48426,0,232,E07000134,4628,E07000039,3846,E07000032,2813,E07000039,6474,E07000032,6036,E07000036,4915
E06000016,154936,159318,47397,67166,0,457,E07000129,9219,E07000130,5615,E07000135,3936,E07000130,11274,E07000129,9199,E07000135,6566
E06000017,18777,20262,8924,5370,0,50,E07000141,900,E06000031,636,E06000061,596,E07000141,1843,E07000133,1050,E06000061,680
E06000018,128874,152484,50391,47773,0,345,E07000173,4991,E07000176,4960,E07000172,4500,E07000173,12543,E07000172,9189,E07000176,8179
E06000019,88510,88352,36515,42185,0,313,E06000051,1519,E07000235,1312,E07000080,1004,E06000051,1671,E07000080,1526,E07000235,1237
E06000020,85493,87508,31489,38852,0,198,E06000051,7636,E08000031,1320,E07000196,903,E06000051,8945,E08000031,2277,E07000196,940
E06000021,112596,116591,33749,50417,0,202,E07000195,10201,E07000198,4888,E07000197,4349,E07000195,13568,E07000198,6439,E07000197,4597
E06000022,89803,94201,45954,29279,0,210,E06000023,4569,E06000025,2403,E07000187,2364,E06000054,5124,E06000025,3874,E06000023,3753
E06000023,238522,252829,120352,83959,0,484,E06000025,18510,E06000024,5011,E06000022,3753,E06000025,22358,E06000024,9534,E06000022,4569
E06000024,102710,97486,47633,35554,0,225,E06000023,9534,E06000025,3647,E07000188,2538,E06000023,5011,E07000188,2749,E06000025,2048
E06000025,147607,150566,73026,40341,0,281,E06000023,22358,E06000022,3874,E06000024,2048,E06000023,18510,E06000024,3647,E06000022,2403
E06000026,121018,121739,43617,61031,0,570,E07000044,7027,E06000052,3123,E07000047,968,E06000052,6095,E07000044,4979,E07000047,1851
E06000027,58935,56177,23058,25108,0,213,E07000045,4899,E07000044,2241,E07000041,1549,E07000045,4517,E07000044,1813,E06000026,580
E06000030,117860,113896,51766,49226,0,259,E06000054,5846,E07000180,1799,E07000079,1763,E06000054,6319,E07000079,1113,E07000180,858
E06000031,100950,106641,38422,45768,0,280,E07000011,4391,E07000010,2793,E07000141,2227,E07000141,5042,E07000011,3849,E07000010,3815
E06000032,98705,88133,39265,29876,0,284,E06000056,9986,E07000240,2763,E07000096,2148,E06000056,8966,E06000055,1536,E07000099,879
E06000033,83281,79980,40617,25652,0,182,E07000075,3589,E07000066,2921,E07000069,1963,E07000075,5372,E07000069,3111,E07000066,1427
